date,t1,c1,p1,sal,sv
20211003T000620.714Z,9.462,3.39968,97.309,31.2674,1484.923
20211003T000621.727Z,9.462,3.39969,97.308,31.2675,1484.924
20211003T000622.714Z,9.4619,3.39968,97.309,31.2675,1484.923
20211003T000623.738Z,9.462,3.39969,97.308,31.2676,1484.924
20211003T000624.715Z,9.4619,3.39969,97.308,31.2676,1484.923
20211003T000625.766Z,9.4619,3.39969,97.308,31.2676,1484.923
20211003T000626.714Z,9.462,3.39969,97.308,31.2675,1484.924
20211003T000627.740Z,9.462,3.3997,97.309,31.2676,1484.924
20211003T000628.714Z,9.4619,3.3997,97.308,31.2676,1484.924
20211003T000629.918Z,9.4619,3.39969,97.308,31.2676,1484.923
20211003T000630.714Z,9.4619,3.39969,97.308,31.2676,1484.923
20211003T000631.727Z,9.4618,3.39968,97.308,31.2676,1484.923
20211003T000632.713Z,9.4617,3.39969,97.307,31.2678,1484.923
20211003T000633.759Z,9.4616,3.39969,97.308,31.2678,1484.923
20211003T000634.714Z,9.4616,3.3997,97.308,31.268,1484.923
20211003T000635.770Z,9.4615,3.39969,97.307,31.2679,1484.922
20211003T000636.714Z,9.4615,3.39969,97.308,31.268,1484.922
20211003T000637.779Z,9.4615,3.39969,97.307,31.2679,1484.922
